,AREA,INT_SQFT,N_BEDROOM,N_BATHROOM,N_ROOM,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,SALES_PRICE
834,KK NAGAR,1717,2,1,4,No,10670,Commercial,AllPub,Paved,RL,14350560
835,ADYAR,1248,2,2,4,No,11582,House,AllPub,Paved,I,8739885
836,CHROMPET,1223,2,1,4,No,7468,House,AllPub,Gravel,RM,10501150
837,T NAGAR,1925,2,1,5,Yes,8156,Commercial,AllPub,Gravel,RM,23667340
838,CHROMPET,907,1,1,3,Yes,17612,Others,ELO,Gravel,RM,9995590
839,CHROMPET,1089,1,1,3,No,8628,Others,NoSeWa,Gravel,RM,10000930
840,ANNA NAGAR,1574,1,1,4,No,13445,House,NoSeWa,Paved,RL,11235770
841,KARAPAKKAM,1335,2,2,4,Yes,7974,Commercial,NoSeWa,Gravel,RM,12986500
842,KK NAGAR,1876,3,2,5,Yes,12777,Commercial,NoSeWa,Gravel,RL,16527040
843,KK NAGAR,2455,4,2,6,No,5875,Commercial,AllPub,Gravel,RM,20063100
844,KARAPAKKAM,1280,1,1,3,No,8161,Others,ELO,Paved,I,6783500
845,KK NAGAR,2169,3,2,5,No,7537,Commercial,NoSeWa,Paved,RL,17039580
846,VELACHERY,1897,3,2,5,No,20250,House,NoSeWa,No Access,RM,10040100
847,CHROMPET,975,1,1,3,No,18882,Others,AllPub,Gravel,RH,8345750
848,T NAGAR,1876,2,1,5,Yes,7067,House,AllPub,Gravel,RL,14685790
849,ANNA NAGAR,1931,2,1,5,Yes,8163,House,NoSeWa,Gravel,RM,14799120
850,ANNA NAGAR,1793,1,1,4,Yes,4722,Commercial,NoSeWa,Gravel,RM,22348850
851,T NAGAR,1618,1,1,4,Yes,15075,Others,NoSeWa,Paved,RH,12611320
852,VELACHERY,1582,2,1,4,No,13217,Others,ELO,Paved,C,8155260
853,CHROMPET,1050,1,1,3,Yes,12741,Commercial,NoSeWa,Gravel,RM,14414750
854,KK NAGAR,1938,3,2,5,Yes,8884,Others,NoSeWa,Gravel,RH,11854600
855,ANNA NAGAR,1894,2,1,5,Yes,17819,Others,ELO,No Access,RL,14310420
856,ANNA NAGAR,1780,1,1,4,Yes,19351,House,NoSeWa,No Access,RH,11574780
857,VELACHERY,1636,2,1,4,Yes,21359,Others,NoSeWa,Gravel,C,8778570
858,ANNA NAGAR,1864,2,1,5,No,20054,Commercial,NoSeWa,Paved,RM,20691780
859,KK NAGAR,2478,4,2,6,Yes,6889,Commercial,NoSeWa,Paved,RL,19600940
860,KARAPAKKAM,725,1,1,2,Yes,16713,House,ELO,Paved,C,4953250
861,ANNA NAGAR,1627,1,1,4,No,12402,House,AllPub,Gravel,RL,12093600
862,KARAPAKKAM,1652,2,2,4,No,11331,House,AllPub,No Access,C,5999250
863,ANNA NAGAR,1996,2,1,5,No,6970,Commercial,NoSeWa,Paved,RM,22567050
864,KK NAGAR,1463,2,1,4,No,9859,Commercial,AllPub,Gravel,RH,12802100
865,KARAPAKKAM,1302,1,1,3,Yes,15615,Others,ELO,Gravel,RH,8871250
866,CHROMPET,1294,2,1,4,No,6838,House,NoSeWa,No Access,RH,8782150
867,KARAPAKKAM,1685,2,2,4,Yes,7962,Others,NoSeWa,Paved,I,8895625
868,VELACHERY,1790,2,1,4,No,21484,Others,NoSeWa,No Access,C,7627340
869,CHROMPET,1036,1,1,3,Yes,13785,Others,NoSeWa,Gravel,RL,10030670
870,ANNA NAGAR,1688,1,1,4,Yes,16251,Commercial,AllPub,Paved,RH,19632920
871,ANNA NAGAR,1707,1,1,4,No,9384,Commercial,ELO,Gravel,RM,20192150
872,CHROMPET,919,1,1,3,No,10456,House,AllPub,Gravel,RH,7989450
873,VELACHERY,1528,2,1,4,Yes,9050,House,ELO,No Access,I,8192790
874,VELACHERY,1746,2,1,4,Yes,23035,Commercial,AllPub,No Access,RL,14917160
875,ANNA NAGAR,1885,2,1,5,Yes,9505,House,NoSeWa,Paved,RL,13501410
876,ADYAR,1135,1,1,3,No,10596,Others,AllPub,Gravel,C,8699125
877,CHROMPET,871,1,1,3,No,17632,House,ELO,No Access,RM,7373000
878,ADYAR,831,1,1,3,No,10817,Others,NoSeWa,No Access,RL,7713895
879,CHROMPET,1216,2,1,4,Yes,11632,House,ELO,Gravel,RH,9748900
880,KK NAGAR,1728,2,1,4,Yes,9594,House,AllPub,Paved,RM,10930680
881,ANNA NAGAR,1677,1,1,4,No,7566,House,ELO,Gravel,RL,11947050
882,KARAPAKKAM,1463,2,2,4,No,6495,House,NoSeWa,No Access,C,5885000
883,T NAGAR,1739,1,1,4,No,17652,House,NoSeWa,No Access,RH,10320700
884,KARAPAKKAM,668,1,1,2,No,17375,House,NoSeWa,Paved,C,3339000
885,ANNA NAGAR,1878,2,1,5,Yes,7783,Others,NoSeWa,No Access,RM,15496160
886,ANNA NAGAR,1780,1,1,4,No,19780,House,AllPub,Gravel,RM,13140580
887,VELACHERY,1513,2,1,4,Yes,17516,Others,AllPub,No Access,C,8008950
888,CHROMPET,917,1,1,3,No,14276,Commercial,NoSeWa,Gravel,RM,12508650
889,KK NAGAR,2157,3,2,5,No,16220,Others,NoSeWa,Paved,RM,11853140
890,KARAPAKKAM,730,1,1,2,No,20822,Commercial,NoSeWa,No Access,C,4886000
891,T NAGAR,1912,2,1,5,No,10339,Commercial,NoSeWa,Paved,RL,21107310
892,KK NAGAR,2411,4,2,6,No,6962,Others,NoSeWa,Gravel,RH,12520540
893,T NAGAR,1854,2,1,5,No,16723,Others,NoSeWa,No Access,RL,13173400
894,KK NAGAR,2075,3,2,5,No,15701,Others,AllPub,Paved,RH,10696080
895,KARAPAKKAM,1239,1,1,3,No,18973,House,ELO,No Access,I,5281500
896,ADYAR,890,1,1,3,No,13238,Commercial,NoSeWa,No Access,A,8414875
897,KK NAGAR,2471,4,2,6,No,12679,Others,NoSeWa,Paved,RM,13259060
898,KK NAGAR,1303,1,1,3,Yes,10035,House,NoSeWa,Paved,RH,8496660
899,KK NAGAR,1532,2,1,4,Yes,8472,Commercial,NoSeWa,Paved,RH,13405440
900,KARAPAKKAM,947,1,1,3,Yes,14895,Others,NoSeWa,Gravel,RM,8709375
901,KK NAGAR,2271,4,2,6,No,10018,Commercial,NoSeWa,Paved,RM,18436880
902,KARAPAKKAM,1610,2,2,4,Yes,14131,Commercial,NoSeWa,Paved,RH,12876250
903,CHROMPET,808,1,1,3,No,8322,Commercial,NoSeWa,No Access,RH,9544050
904,KARAPAKKAM,1626,2,2,4,Yes,13937,Others,ELO,No Access,RM,9478500
905,KK NAGAR,1596,2,1,4,Yes,14124,Commercial,AllPub,Paved,RH,13502160
906,KK NAGAR,1653,2,1,4,Yes,6506,Others,NoSeWa,Paved,RL,11222760
907,VELACHERY,1609,2,1,4,Yes,8330,House,NoSeWa,Paved,RH,9588670
908,T NAGAR,1503,1,1,4,Yes,18519,Commercial,AllPub,Gravel,RH,17978100
909,CHROMPET,1232,2,1,4,Yes,11408,House,NoSeWa,No Access,RL,9371100
910,KK NAGAR,1838,3,2,5,No,10568,House,NoSeWa,Paved,RH,9244720
911,VELACHERY,1511,2,1,4,No,15926,House,NoSeWa,Gravel,A,6702360
912,CHROMPET,1072,1,1,3,Yes,13734,Commercial,NoSeWa,Paved,RH,12893150
913,ADYAR,1291,2,2,4,No,13828,Others,NoSeWa,Gravel,I,10168445
914,ANNA NAGAR,1771,1,1,4,No,21013,House,AllPub,Paved,RH,11123540
915,CHROMPET,709,1,1,2,Yes,18104,Others,ELO,Gravel,RM,9332280
916,T NAGAR,1886,2,1,5,No,9058,Others,AllPub,Gravel,RM,15416110
917,VELACHERY,1540,2,1,4,Yes,22959,House,NoSeWa,Paved,I,8174460
918,ANNA NAGAR,1712,1,1,4,No,15973,Commercial,AllPub,Gravel,RL,19337750
919,CHROMPET,853,1,1,3,Yes,7436,House,NoSeWa,Gravel,RM,9872250
920,CHROMPET,890,1,1,3,Yes,16393,Commercial,NoSeWa,No Access,RL,11492450
921,CHROMPET,934,1,1,3,No,11227,Others,NoSeWa,Gravel,RL,8750680
922,ADYAR,1113,1,1,3,Yes,6032,Others,NoSeWa,Paved,A,8449490
923,ADYAR,1183,1,1,3,Yes,6724,Commercial,NoSeWa,Paved,I,14046320
924,KARAPAKKAM,527,1,1,2,Yes,22301,House,NoSeWa,Paved,RH,5173250
925,CHROMPET,996,1,1,3,Yes,13234,Others,NoSeWa,Gravel,RL,9831120
926,KK NAGAR,1730,2,1,4,Yes,7245,House,NoSeWa,Paved,RL,10651140
927,VELACHERY,1697,2,1,4,No,9646,Commercial,NoSeWa,Paved,C,12666780
928,KK NAGAR,2260,4,2,6,No,13210,House,NoSeWa,Gravel,RM,12528440
929,ANNA NAGAR,1754,1,1,4,Yes,16324,Others,NoSeWa,Paved,RH,13330820
930,ANNA NAGAR,1633,1,1,4,Yes,7852,Commercial,NoSeWa,Paved,RL,19300690
931,CHROMPET,914,1,1,3,No,16307,House,NoSeWa,Paved,RM,8155200
932,KK NAGAR,2457,4,2,6,Yes,15937,Others,NoSeWa,Paved,RL,13907120
933,T NAGAR,1946,2,1,5,No,6675,Commercial,NoSeWa,Gravel,RL,21897640
934,ADYAR,713,1,1,2,No,13051,Others,NoSeWa,Paved,RL,7676000
935,CHROMPET,1179,1,1,3,Yes,4401,House,NoSeWa,Paved,RL,10044200
936,VELACHERY,1770,2,1,4,No,15060,House,ELO,Paved,RH,8548080
937,VELACHERY,1833,3,2,5,Yes,20415,Commercial,NoSeWa,Paved,RH,15741200
938,KK NAGAR,2335,4,2,6,No,9723,Others,NoSeWa,Gravel,RH,12290940
939,ADYAR,1122,1,1,3,No,13065,House,ELO,Paved,I,7498275
940,ANNA NAGAR,1866,2,1,5,Yes,10352,Others,AllPub,No Access,RL,14409230
941,KARAPAKKAM,1635,2,2,4,No,20009,Commercial,NoSeWa,Gravel,C,10763000
942,ANNA NAGAR,1514,1,1,4,No,12273,Others,AllPub,No Access,RM,12047650
943,ADYAR,1242,2,2,4,Yes,18951,House,NoSeWa,Gravel,I,9378485
944,ANNA NAGAR,1861,2,1,5,Yes,15434,House,NoSeWa,No Access,RH,12006850
945,KK NAGAR,1650,2,1,4,Yes,9307,Commercial,NoSeWa,Paved,RH,14278260
946,VELACHERY,1802,3,2,5,No,8830,House,ELO,Gravel,C,8288940
947,VELACHERY,1594,2,1,4,Yes,9641,Others,NoSeWa,Paved,I,9865200
948,ADYAR,1217,2,2,4,No,6560,Commercial,ELO,Paved,RL,14178675
949,KK NAGAR,1926,3,2,5,No,7802,House,NoSeWa,Gravel,RH,9839960
950,KARAPAKKAM,1143,1,1,3,Yes,17683,House,NoSeWa,No Access,C,5280500
951,CHROMPET,1129,1,1,3,No,16201,Others,ELO,Paved,RL,9214930
952,CHROMPET,937,1,1,3,Yes,14026,House,AllPub,Paved,RH,8245950
953,ADYAR,790,1,1,2,No,20387,House,ELO,Gravel,RH,7329900
954,ADYAR,1215,2,2,4,No,18485,Commercial,NoSeWa,Gravel,RM,15103540
955,CHROMPET,976,1,1,3,Yes,12051,Commercial,NoSeWa,Paved,RH,11943700
956,ADYAR,604,1,1,2,Yes,12582,Others,AllPub,No Access,I,6322560
957,VELACHERY,1672,2,1,4,No,12313,Others,AllPub,Gravel,RM,10904740
958,KK NAGAR,2382,4,2,6,No,13074,Commercial,NoSeWa,Gravel,RL,18192700
959,KK NAGAR,1324,1,1,3,Yes,14158,House,NoSeWa,Paved,RL,8962700
960,KARAPAKKAM,1198,1,1,3,Yes,17163,Commercial,ELO,Gravel,RH,10599000
961,KARAPAKKAM,1347,2,2,4,No,15194,Others,ELO,Gravel,RL,8268875
962,VELACHERY,1845,3,2,5,Yes,14697,Others,NoSeWa,Gravel,RH,11395560
963,KARAPAKKAM,1569,2,2,4,No,8750,House,AllPub,Gravel,RH,8792500
964,T NAGAR,1548,1,1,4,No,11559,Others,ELO,Gravel,RM,13249450
965,CHROMPET,1143,1,1,3,Yes,5805,Others,NoSeWa,No Access,RH,9305660
966,CHROMPET,1127,1,1,3,No,9004,House,NoSeWa,Gravel,RL,9198100
967,KARAPAKKAM,585,1,1,2,Yes,9939,House,NoSeWa,No Access,A,3906750
968,KK NAGAR,1823,3,2,5,No,12195,Others,NoSeWa,Gravel,RL,10748500
969,KK NAGAR,1891,3,2,5,Yes,11834,Commercial,NoSeWa,Paved,RM,16864980
970,VELACHERY,1781,2,1,4,No,25289,House,NoSeWa,Gravel,C,7950320
971,KK NAGAR,2328,4,2,6,Yes,13329,Commercial,NoSeWa,Gravel,RH,18646240
972,VELACHERY,1958,3,2,5,No,19491,Others,NoSeWa,Gravel,C,9491790
973,KARAPAKKAM,977,1,1,3,No,9444,Commercial,NoSeWa,Paved,C,7095250
974,ADYAR,797,1,1,2,Yes,19595,House,ELO,No Access,RL,7975085
975,CHROMPET,700,1,1,2,Yes,9077,House,AllPub,No Access,RH,6973750
976,KARAPAKKAM,1483,2,2,4,Yes,6224,Others,NoSeWa,Gravel,RH,10032375
977,CHROMPET,843,1,1,3,No,17725,Others,AllPub,Paved,RL,7812910
978,KARAPAKKAM,1464,2,2,4,Yes,5805,Others,NoSeWa,Gravel,I,8988750
979,ADYAR,858,1,1,3,Yes,9854,House,NoSeWa,Paved,RM,9563095
980,KK NAGAR,1927,3,2,5,Yes,7935,Commercial,NoSeWa,Gravel,RM,17651360
981,T NAGAR,1664,1,1,4,No,10010,Others,NoSeWa,Gravel,RL,13427680
982,ADYAR,1293,2,2,4,No,6264,House,NoSeWa,No Access,RH,9104275
983,ANNA NAGAR,1681,1,1,4,No,7535,Commercial,ELO,No Access,RL,18312300
984,CHROMPET,1073,1,1,3,Yes,9868,Others,NoSeWa,Paved,RH,9760960
985,CHROMPET,916,1,1,3,No,10926,House,AllPub,No Access,RL,7319800
986,VELACHERY,1617,2,1,4,No,15015,Commercial,NoSeWa,Gravel,A,12167290
987,KK NAGAR,2223,4,2,6,No,10190,House,AllPub,Gravel,RL,11839680
988,CHROMPET,877,1,1,3,Yes,15646,Commercial,NoSeWa,Gravel,RM,12640950
989,KARAPAKKAM,802,1,1,2,Yes,13570,Commercial,AllPub,No Access,RH,7832500
990,KK NAGAR,2057,3,2,5,Yes,13012,House,NoSeWa,Paved,RL,11396020
991,ANNA NAGAR,1990,2,1,5,Yes,5022,House,NoSeWa,Paved,RM,14927450
992,KARAPAKKAM,975,1,1,3,Yes,7241,Commercial,NoSeWa,Paved,A,8261000
993,T NAGAR,1519,1,1,4,Yes,19459,Commercial,NoSeWa,No Access,RM,18169910
994,KARAPAKKAM,1537,2,2,4,No,13814,Others,ELO,Paved,RH,8178625
995,KARAPAKKAM,1502,2,2,4,Yes,19357,Others,NoSeWa,No Access,C,6677000
996,ADYAR,1016,1,1,3,No,18518,House,ELO,No Access,RH,7041840
997,T NAGAR,1502,1,1,4,No,17582,House,NoSeWa,No Access,RH,9433610
998,KARAPAKKAM,1497,2,2,4,No,10278,Others,AllPub,No Access,RL,8164875
999,ADYAR,850,1,1,3,No,13090,House,NoSeWa,Paved,I,6575100
1000,ANNA NAGAR,1940,2,1,5,No,20090,Others,AllPub,Gravel,RL,14198960
1001,KARAPAKKAM,1523,2,2,4,Yes,14466,House,ELO,No Access,I,6916250
1002,CHROMPET,711,1,1,2,Yes,17288,House,ELO,No Access,RH,6354550
1003,VELACHERY,1671,2,1,4,No,13786,House,NoSeWa,Paved,A,7352510
1004,CHROMPET,1293,2,1,4,Yes,11662,Commercial,NoSeWa,No Access,RH,14017800
1005,KARAPAKKAM,1615,2,2,4,Yes,13097,Commercial,ELO,Paved,I,12288250
1006,VELACHERY,1526,2,1,4,Yes,14624,Others,AllPub,Gravel,C,9091390
1007,KK NAGAR,2296,4,2,6,Yes,9435,Others,AllPub,Gravel,RM,14327400
1008,ANNA NAGAR,1600,1,1,4,No,14185,House,AllPub,Gravel,RM,12401250
1009,KARAPAKKAM,1122,1,1,3,No,11660,Others,ELO,Paved,RM,7809500
1010,CHROMPET,821,1,1,3,No,18253,Others,NoSeWa,No Access,RH,6678470
1011,VELACHERY,1678,2,1,4,Yes,13896,Commercial,NoSeWa,Gravel,C,14452540
1012,KARAPAKKAM,587,1,1,2,Yes,15097,Others,NoSeWa,Gravel,C,5185125
1013,ADYAR,613,1,1,2,No,18739,Others,ELO,Paved,RH,6193485
1014,CHROMPET,714,1,1,2,Yes,9212,House,NoSeWa,Paved,RL,8144950
1015,KARAPAKKAM,596,1,1,2,No,11895,Commercial,ELO,Gravel,C,5766000
1016,KK NAGAR,1804,3,2,5,Yes,7743,Others,NoSeWa,Gravel,RH,11065040
1017,KARAPAKKAM,1058,1,1,3,Yes,8465,Others,AllPub,Gravel,RL,9121000
1018,CHROMPET,884,1,1,3,Yes,8380,House,NoSeWa,Paved,RM,9668900
1019,KK NAGAR,2321,4,2,6,No,12823,House,AllPub,Gravel,RH,11291220
1020,KARAPAKKAM,1603,2,2,4,Yes,6951,Commercial,NoSeWa,Paved,RM,14077500
1021,ADYAR,715,1,1,2,Yes,9356,Commercial,ELO,Paved,RH,10571650
1022,KARAPAKKAM,1397,2,2,4,Yes,21511,Commercial,NoSeWa,Paved,C,9888000
1023,ANNA NAGAR,1604,1,1,4,Yes,13706,Others,NoSeWa,Paved,RL,12985460
1024,KK NAGAR,1533,2,1,4,No,13058,Commercial,NoSeWa,Paved,RL,12844280
1025,ANNA NAGAR,1744,1,1,4,Yes,9996,House,ELO,Gravel,RM,13832030
1026,CHROMPET,1097,1,1,3,No,13798,House,AllPub,Gravel,RL,8792100
1027,CHROMPET,748,1,1,2,No,16149,Commercial,AllPub,Gravel,RL,10727250
1028,ADYAR,847,1,1,3,No,14020,House,AllPub,No Access,C,5254245
1029,T NAGAR,1535,1,1,4,No,9639,Commercial,AllPub,Gravel,RH,18163890
1030,KARAPAKKAM,1558,2,2,4,No,20327,House,AllPub,Paved,I,7047750
1031,VELACHERY,1696,2,1,4,No,9601,Others,ELO,Paved,RH,9475100
1032,ANNA NAGAR,1868,2,1,5,Yes,11118,Others,ELO,No Access,RH,13107540
1033,KARAPAKKAM,591,1,1,2,No,7906,Others,AllPub,Gravel,RH,5865875
1034,ANNA NAGAR,1539,1,1,4,No,10976,Others,NoSeWa,No Access,RH,10959440
1035,ANNA NAGAR,1594,1,1,4,Yes,19536,House,NoSeWa,Gravel,RM,12918430
1036,CHROMPET,1074,1,1,3,Yes,16845,Commercial,AllPub,Paved,RM,14048900
1037,CHROMPET,736,1,1,2,No,8574,Commercial,AllPub,Gravel,RH,10316800
1038,CHROMPET,904,1,1,3,No,17073,Others,NoSeWa,Gravel,RH,7831830
1039,CHROMPET,802,1,1,3,Yes,8253,Commercial,NoSeWa,Gravel,RM,12971150
1040,KARAPAKKAM,1445,2,2,4,No,17878,Commercial,NoSeWa,No Access,C,8783500
1041,VELACHERY,1623,2,1,4,No,7088,Others,ELO,Paved,RL,10346560
1042,ANNA NAGAR,1978,2,1,5,Yes,15696,House,NoSeWa,Paved,RL,13831750
1043,KARAPAKKAM,1546,2,2,4,No,20110,Others,NoSeWa,Gravel,RH,8340500
1044,KK NAGAR,1896,3,2,5,No,9385,Others,NoSeWa,Paved,RL,10461400
1045,KK NAGAR,1673,2,1,4,Yes,10916,Commercial,NoSeWa,Gravel,RM,16280140
1046,KK NAGAR,2334,4,2,6,No,7596,Commercial,AllPub,Paved,RH,17422560
1047,CHROMPET,1114,1,1,3,No,16896,House,AllPub,Gravel,RM,9214700
1048,CHROMPET,776,1,1,2,Yes,6861,House,ELO,Paved,RL,8237550
1049,KARAPAKKAM,1675,2,2,4,Yes,6227,Others,AllPub,Paved,RL,10893375
1050,T NAGAR,1590,1,1,4,Yes,17284,Commercial,AllPub,Gravel,RM,20142850
1051,T NAGAR,1639,1,1,4,No,5148,Commercial,NoSeWa,Gravel,RM,19704720
1052,VELACHERY,1712,2,1,4,Yes,22358,House,NoSeWa,No Access,I,8137800
1053,ADYAR,1118,1,1,3,Yes,17751,House,NoSeWa,No Access,RH,8351070
1054,ADYAR,792,1,1,2,No,9144,Commercial,AllPub,Paved,I,9522150
1055,ADYAR,1190,1,1,3,Yes,14848,House,NoSeWa,No Access,RL,9632875
1056,CHROMPET,1243,2,1,4,No,11350,House,NoSeWa,Paved,RL,9469350
1057,ANNA NAGAR,1657,1,1,4,No,9471,House,ELO,Gravel,RL,12116210
1058,CHROMPET,1008,1,1,3,No,15277,Others,NoSeWa,Gravel,RM,9324960
1059,VELACHERY,1658,2,1,4,Yes,13618,Commercial,NoSeWa,Paved,I,14086140
1060,KK NAGAR,1381,2,1,4,No,7461,Commercial,NoSeWa,Gravel,RM,13306740
1061,KARAPAKKAM,929,1,1,3,No,7156,Commercial,ELO,Paved,I,7698750
1062,CHROMPET,1166,1,1,3,No,4803,Others,NoSeWa,Gravel,RL,10093170
1063,CHROMPET,1239,2,1,4,No,16563,Others,NoSeWa,Gravel,RH,9819130
1064,CHROMPET,1231,2,1,4,No,12267,Others,AllPub,Gravel,RH,9592970
1065,ANNA NAGAR,1973,2,1,5,No,17196,House,ELO,No Access,RM,12198380
1066,KK NAGAR,2244,4,2,6,No,12483,Others,NoSeWa,Paved,RL,12356100
1067,KARAPAKKAM,1577,2,2,4,Yes,11395,Others,NoSeWa,No Access,A,6687375
1068,T NAGAR,1854,2,1,5,Yes,18868,Others,NoSeWa,No Access,RH,12763900
1069,CHROMPET,1109,1,1,3,No,9272,Others,ELO,Paved,RM,10078530
1070,KK NAGAR,1801,3,2,5,No,7161,House,AllPub,Gravel,RH,10345940
1071,CHROMPET,1257,2,1,4,No,17751,Commercial,NoSeWa,Gravel,RL,13773700
1072,KARAPAKKAM,531,1,1,2,No,16967,Others,ELO,No Access,RH,3767125
1073,KARAPAKKAM,1380,2,2,4,No,15126,House,NoSeWa,Gravel,RM,8624750
1074,KK NAGAR,1758,2,1,4,No,9791,House,NoSeWa,Paved,RH,8850660
1075,ANNA NAGAR,1777,1,1,4,Yes,5541,House,AllPub,Paved,RM,14237800
1076,ANNA NAGAR,1943,2,1,5,No,13264,Others,NoSeWa,Paved,RL,14078710
1077,VELACHERY,1964,3,2,5,Yes,6293,Others,NoSeWa,No Access,I,10705950
1078,ANNA NAGAR,1777,1,1,4,Yes,16422,Others,ELO,Gravel,RH,14138950
1079,ANNA NAGAR,1751,1,1,4,No,11875,House,ELO,No Access,RH,10561720
1080,KK NAGAR,1573,2,1,4,No,12603,House,NoSeWa,Paved,RM,9336800
1081,KK NAGAR,1438,2,1,4,Yes,14165,Commercial,NoSeWa,Gravel,RL,13750340
1082,ADYAR,925,1,1,3,No,17253,Others,NoSeWa,Paved,RH,7487725
1083,CHROMPET,1280,2,1,4,No,9139,Others,AllPub,Paved,RM,10700200
1084,ADYAR,947,1,1,3,Yes,10359,House,ELO,No Access,RL,8931410
1085,T NAGAR,1981,2,1,5,No,17621,Others,AllPub,Paved,RH,13923830
1086,KK NAGAR,1554,2,1,4,No,10090,House,NoSeWa,Gravel,RL,9444500
1087,VELACHERY,1762,2,1,4,Yes,18493,Others,NoSeWa,Paved,A,8899780
1088,ANNA NAGAR,1835,2,1,5,No,12323,House,NoSeWa,No Access,RM,12605360
1089,KK NAGAR,1351,2,1,4,Yes,14030,Others,NoSeWa,Gravel,RH,9914760
1090,CHROMPET,750,1,1,2,No,12363,Others,NoSeWa,Gravel,RL,7954750
1091,VELACHERY,1598,2,1,4,No,22388,Commercial,ELO,Gravel,RH,13087480
1092,VELACHERY,1856,3,2,5,Yes,20506,Others,NoSeWa,Gravel,A,9430410
1093,VELACHERY,1584,2,1,4,No,22317,House,NoSeWa,No Access,RL,8183130
1094,ADYAR,852,1,1,3,No,12664,Commercial,ELO,Paved,A,8355660
1095,KARAPAKKAM,1650,2,2,4,Yes,21167,Commercial,NoSeWa,Paved,A,10554500
1096,KARAPAKKAM,1606,2,2,4,No,8272,House,NoSeWa,Gravel,I,7557000
1097,ADYAR,1152,1,1,3,Yes,19329,House,AllPub,Paved,RL,10008685
1098,KK NAGAR,1763,2,1,4,Yes,11011,Others,NoSeWa,Gravel,RM,12182240
1099,ANNA NAGAR,1969,2,1,5,Yes,10744,Commercial,NoSeWa,Paved,RM,22916500
1100,ADYAR,994,1,1,3,Yes,14760,Others,NoSeWa,No Access,C,7205505
1101,T NAGAR,1566,1,1,4,No,12184,Others,NoSeWa,Paved,RH,11225380
1102,CHROMPET,914,1,1,3,Yes,6606,Commercial,ELO,No Access,RL,12010350
1103,ANNA NAGAR,1757,1,1,4,No,14700,House,ELO,No Access,RM,11839510
1104,ADYAR,1241,2,2,4,No,16352,Others,NoSeWa,Paved,RL,10568895
1105,VELACHERY,1926,3,2,5,No,19670,Commercial,NoSeWa,No Access,RL,14814620
1106,VELACHERY,1531,2,1,4,No,10100,House,NoSeWa,Paved,A,6745340
1107,ADYAR,928,1,1,3,No,19413,Commercial,AllPub,No Access,RH,10595700
1108,VELACHERY,1716,2,1,4,No,21705,House,NoSeWa,Paved,I,7777550
1109,VELACHERY,1637,2,1,4,Yes,10000,Others,AllPub,Paved,A,9014800
1110,CHROMPET,1286,2,1,4,Yes,8748,Others,AllPub,No Access,RL,10675820
1111,KARAPAKKAM,1694,2,2,4,No,10632,Commercial,ELO,Paved,I,11405500
1112,CHROMPET,770,1,1,2,No,11731,Commercial,NoSeWa,Gravel,RH,9876750
1113,VELACHERY,1677,2,1,4,Yes,14008,House,NoSeWa,Gravel,A,8859220
1114,ADYAR,790,1,1,2,No,16027,Commercial,NoSeWa,Gravel,I,9758035
1115,CHROMPET,1115,1,1,3,Yes,17377,House,ELO,Paved,RL,9005600
1116,KK NAGAR,1723,2,1,4,No,13292,House,AllPub,Paved,RL,9160860
1117,KARAPAKKAM,1013,1,1,3,No,14387,Commercial,NoSeWa,No Access,RM,9511000
1118,KARAPAKKAM,1143,1,1,3,No,21174,Others,NoSeWa,No Access,RL,5947125
1119,KK NAGAR,1676,2,1,4,Yes,8071,Commercial,NoSeWa,Paved,RM,15244800
1120,ADYAR,960,1,1,3,Yes,14741,Others,ELO,Paved,I,8428090
1121,T NAGAR,1849,2,1,5,No,11141,House,NoSeWa,Gravel,RM,13393470
1122,KARAPAKKAM,850,1,1,2,No,15030,House,NoSeWa,Gravel,A,3874500
1123,CHROMPET,935,1,1,3,Yes,11800,Commercial,NoSeWa,No Access,RL,11529500
1124,KARAPAKKAM,1247,1,1,3,Yes,15016,Commercial,AllPub,Gravel,I,10758000
1125,KARAPAKKAM,1420,2,2,4,No,6173,Others,NoSeWa,Gravel,RL,9082000
1126,CHROMPET,989,1,1,3,No,7239,House,AllPub,Gravel,RL,9315900
1127,CHROMPET,1227,2,1,4,Yes,9479,House,NoSeWa,No Access,RH,8845600
1128,VELACHERY,1626,2,1,4,No,23757,House,ELO,Paved,I,7257400
1129,CHROMPET,787,1,1,2,Yes,16714,Commercial,NoSeWa,No Access,RM,10751700
1130,VELACHERY,1576,2,1,4,Yes,15853,House,NoSeWa,No Access,RH,8567240
1131,KARAPAKKAM,594,1,1,2,No,19395,House,AllPub,No Access,RM,5308500
1132,CHROMPET,991,1,1,3,No,15543,House,NoSeWa,Paved,RM,8765000
1133,KARAPAKKAM,684,1,1,2,No,16294,House,NoSeWa,Gravel,A,3916750
1134,VELACHERY,1717,2,1,4,No,15866,House,NoSeWa,No Access,I,7369890
1135,ADYAR,1195,1,1,3,Yes,7327,Others,NoSeWa,Gravel,C,9640575
1136,CHROMPET,951,1,1,3,No,7089,Commercial,NoSeWa,Gravel,RH,11239600
1137,KARAPAKKAM,825,1,1,2,Yes,14891,House,ELO,No Access,RM,6778000
1138,KK NAGAR,2498,4,2,6,Yes,13441,Commercial,NoSeWa,Paved,RL,19200260
